ID	Delay	Delay2	Latency	Latency2	Success_Ratio	Energy	Hops	txPackets	rxPackets	ShortestPath	LongestPath	Orchestrators	Neighbors	Paths	Distance	DevFast	DevMedium	DevSlow	LoadSmall	LoadMedium	LoadBig
540	43.6646	46.0447	1.74777	4.1278	81.8182	0.753566	23	7	5	2	11	4	18	24	1486	0	4	5	0	5	4
422	46.2425	46.6392	0.704673	1.10136	80	0.753528	11	5	3	2	5	5	19	5	940	0	2	8	0	2	8
464	55.3029	57.2046	0.908494	2.81021	92.3077	0.753458	26	9	8	1	10	4	18	24	1258	0	0	9	0	2	7
407	57.7274	60.3787	0.979798	3.63118	100	0.752723	36	8	8	1	9	3	19	43	1075	0	2	6	0	1	7
301	102.213	104.379	1.28359	3.44923	73.3333	0.752667	34	13	9	1	9	2	18	62	1243	0	1	6	0	1	6
916	41.3161	45.004	2.0783	5.76622	100	0.752575	21	5	5	1	11	5	18	5	835	2	4	4	0	0	10
502	30.7179	31.4916	0.908095	1.68175	100	0.752098	14	5	5	1	4	5	18	5	1142	2	4	4	2	2	6
638	42.8985	44.978	3.66073	5.74025	100	0.75197	15	5	5	2	4	5	18	5	1481	2	4	4	0	0	10
745	54.5486	56.34	1.95422	3.74562	91.6667	0.751963	29	8	7	2	6	4	18	24	1107	0	0	9	0	4	5
971	52.5944	57.27	1.75811	6.4337	100	0.751846	26	9	9	1	9	4	20	24	1033	0	2	7	0	2	7
143	51.5761	55.0612	1.40971	4.89476	91.6667	0.751818	25	8	7	1	8	4	19	24	1154	0	2	7	2	0	7
261	60.2317	63.805	1.61722	5.19057	83.3333	0.751764	27	15	12	1	6	3	19	43	1019	0	4	4	2	0	6
759	59.5488	62.9232	0.93429	4.30875	82.3529	0.751395	34	14	11	1	9	3	19	43	1115	0	4	4	2	0	6
776	39.9387	42.5832	1.83159	4.47599	100	0.751112	30	7	7	1	9	4	19	24	1101	2	4	3	0	2	7
859	48.3289	51.6462	1.38034	4.69764	92.8571	0.751054	32	11	10	1	9	3	19	43	1375	0	4	4	0	4	4
258	37.2133	39.0041	1.3337	3.12454	100	0.750959	32	6	6	1	14	4	19	24	1141	2	2	5	2	2	5
660	45.6949	48.7509	1.5586	4.61468	78.5714	0.750936	26	10	7	2	9	4	20	24	966	0	2	7	0	6	3
634	44.3837	46.9946	2.30583	4.9167	92.8571	0.750315	30	10	9	2	9	3	19	43	1118	2	2	4	0	4	4
842	71.1746	76.4862	3.02701	8.33864	64.2857	0.750301	27	11	6	2	11	3	19	43	1042	0	0	8	0	1	7
706	43.7132	45.5187	0.87544	2.68088	100	0.750233	12	6	6	1	3	5	19	5	1210	0	2	8	0	2	8
37	50.5872	51.9567	0.692784	2.06234	91.6667	0.750125	20	8	7	1	6	4	20	24	1015	0	4	5	0	0	9
995	66.5305	71.718	3.07687	8.26434	68.75	0.750071	44	13	8	1	17	3	19	43	1315	0	4	4	0	0	8
382	70.0607	72.6303	2.10709	4.67659	62.5	0.749909	29	13	7	2	11	3	18	43	1332	0	2	6	0	0	8
735	46.2792	46.9631	0.741434	1.42534	90	0.749466	9	5	4	1	3	5	19	5	963	0	2	8	0	2	8
718	62.9989	66.6107	1.0452	4.65702	83.3333	0.749382	30	15	12	1	8	3	20	43	1029	0	2	6	0	3	5
391	38.8007	39.8864	1.04766	2.13335	100	0.74931	17	5	5	2	6	5	19	5	1153	2	2	6	0	4	6
891	47.5323	48.3992	0.494489	1.3614	100	0.749214	12	5	5	1	4	5	18	5	741	2	0	8	0	2	8
410	49.1411	51.4715	1.04676	3.37715	100	0.749183	25	8	8	1	9	4	18	24	1248	0	2	7	0	4	5
